										X					
SPE4A515TC704	SPE4	5315015412221	56369407	01/02/2015	8	EA	PIN,STRAIGHT,HEADLE			T					
SPE4A515TC705	SPE4	2935012795985	56406531	01/02/2015	3	EA	RING,WEARING			T					
SPE4A515TC706	SPE4	1680015465737	56370014	01/02/2015	2	EA	ARM,HINGE PIN,UPPER			T					
SPE4A515TC707	SPE4	5999015396203	56365038	01/02/2015	2	EA	CONNECTOR,PLATE ASS			T					
SPE4A515TC708	SPE4	4730016289566	56366953	12/30/14	7	EA	ADAPTER ASSEMBLY,VA			T					
SPE4A515TC709	SPE4	3120016308150	56368432	01/02/2015	2	EA	BUSHING,SLEEVE			T					
SPE4A515TC710	SPE4	1660011634417	56101374	01/02/2015	3	EA	DUCT ASSEMBLY,AIR C			T					
SPE4A515TC711	SPE4	5340015400969	56369605	01/02/2015	4	EA	COVER,ACCESS			T					
SPE4A515TC712	SPE4	5307011034428	56439173	12/30/14	460	EA	STUD,SHOULDERED AND			T					
SPE4A515TC713	SPE4	1730994102573	56426151	01/02/2015	6	EA	EXTRACTOR ASSEMBLY,			T					
SPE4A515TC714	SPE4	5365011403723	56368511	01/02/2015	1924	EA	SHIM			T					
SPE4A515TC715	SPE4	1730014559044	55987492	01/02/2015	13	EA	SHIELD,AIRCRAFT GRO			T					
SPE4A515TC716	SPE4	1680015368630	56370408	01/02/2015	2	EA	BOARD,AIRCRAFT,MATE			T					
SPE4A515TC717	SPE4	5305015399121	56407296	01/02/2015	1942	EA	SCREW,MACHINE			T					
SPE4A515TC718	SPE4	2840015525405	56407053	01/02/2015	169	EA	BLADE,COMPRESSOR,AI			T					
SPE4A515TC719	SPE4	1560015659757	56435778	01/02/2015	2	EA	PANEL,STRUCTURAL,AI			T					
SPE4A515TC720	SPE4	5365015711175	56370362	01/02/2015	5	EA	SPACER,PLATE			T					
SPE4A515TC721	SPE4	5365016322672	56368207	12/30/14	5	EA	BUSHING,SLEEVE			T					
SPE4A515TC722	SPE4	2840005514045	56423389	01/02/2015	13	EA	HOUSING,BEARING			T					
SPE4A515TC723	SPE4	1650005685617	56319180	01/02/2015	9	EA	SPOOL AND SLEEVE AS			T					
SPE4A515TC724	SPE4	5305011506654	56367262	01/02/2015	24	EA	SCREW,ADJUSTING			T					
SPE4A515TC725	SPE4	2840012183557	56219133	01/02/2015	24	EA	SUPPORT,COMPRESSOR			T					
SPE4A515TC726	SPE4	2840015525434	56407052	01/02/2015	79	EA	BLADE,COMPRESSOR,AI			T					
SPE4A515TC727	SPE4	4140016322681	56368206	01/02/2015	6	EA	FAN,VANEAXIAL			T					
SPE4A515TC728	SPE4	4920011691745	56458771	01/02/2015	4	EA	INDICATOR,THROTTLE			T					
SPE4A515TC729	SPE4	6220002646104	56441350	01/02/2015	2	EA	MOUNTING ASSY			T					
SPE4A515TC730	SPE4	2915011506636	56367263	01/02/2015	4	EA	LEVER,TABLE			T					
SPE4A515TC733	SPE4	1660008888406	56366354	01/02/2015	68	EA	LINKAGE,ARM,AIR SCO			T					
SPE4A515TC734	SPE4	3110003316819	56438291	01/02/2015	29	EA	BEARING,ROLLER,CYLI			T					
SPE4A515TC735	SPE4	5365001447998	56368697	01/02/2015	459	EA	SHIM			T					
SPE4A515TC736	SPE4	5310011300600	56365926	01/02/2015	140	EA	NUT,PLAIN,HEXAGON			T					
SPE4A515TC737	SPE4	6610009065722	56268272	01/02/2015	2	EA	HOUSING ASSY,INDICA			T					
SPE4A515TC738	SPE4	5365011285298	56365923	01/02/2015	20	EA	RING,EXTERNALLY THR			T					
SPE4A515TC741	SPE4	5306013213658	56366122	01/02/2015	19	EA	ROD,CONTINUOUS THRE			T					
SPE4A515TC742	SPE4	1730015217270	56457490	12/30/14	24	EA	CABLE ASSEMBLY,AIRC			T					
SPE4A515TC743	SPE4	3110999346387	56406659	01/02/2015	4	EA	BEARING,TRACK,INNER			T					
SPE4A515TC744	SPE4	4730013122727	56457329	01/02/2015	45	EA	FLANGE,PIPE			T					
SPE4A515TC745	SPE4	1560008987400	56460071	01/02/2015	2	EA	DOOR,ACCESS,AIRCRAF			T					
SPE4A515TC746	SPE4	1650005719352	56334491	01/02/2015	15	EA	LUG,STRUT RUDDER BO			T					
SPE4A515TC747	SPE4	5365011300960	56365497	01/02/2015	50	EA	SPACER,RING			T					
SPE4A515TC748	SPE4	3110011313380	56365498	01/02/2015	17	EA	PLATE,RETAINING,BEA			T					
SPE4A515TC749	SPE4	1560009231639	55805823	01/02/2015	9	EA	SKIN,AIRCRAFT			T					
SPE4A515TC750	SPE4	2840013794638	56459001	01/02/2015	1	EA	DISK,TURBINE,AIRCRA			T					
SPE4A515TC751	SPE4	5365011278970	56365805	01/02/2015	19	EA	SPACER,RING			T					
SPE4A515TC752	SPE4	5310011284110	56365803	01/02/2015	50	EA	NUT,PLAIN,HEXAGON			T					
SPE4A515TC753	SPE4	5120013829696	56367187	01/02/2015	7	EA	PULLER,MECHANICAL			T					
SPE4A515TC754	SPE4	5365011278971	56365804	01/02/2015	25	EA	SPACER,RING			T					
SPE4A515TC755	SPE4	5940014554953	56369118	01/02/2015	2	EA	TERMINAL,LUG			T					
SPE4A515TC758	SPE4	5365011423097	56442553	01/02/2015	1	EA	SPACER,PLATE			T					
SPE4A515TC759	SPE4	5365003405984	56442352	01/02/2015	1	EA	SPACER,RING			T					
SPE4A515TC760	SPE4	3940995810165	56426152	01/02/2015	6	EA	SLING,BEAM TYPE			T					
SPE4A515TC761	SPE4	1560012800709	56412113	01/02/2015	1	EA	FORMER,AIRCRAFT			T					
SPE4A515TC762	SPE4	5365012200245	56442532	01/02/2015	75	EA	SHIM			T					
SPE4A515TC763	SPE4	1560015536323	56442490	01/02/2015	2	EA	SUPPORT,STRUCTURAL			T					
SPE4A515TC764	SPE4	1560011673725	56367574	01/02/2015	2	EA	MANIFOLD,FLUID,AIRC			T					
SPE4A515TC767	SPE4	1560014692608	56367609	01/02/2015	7	EA	COVER,ACCESS,AIRCRA			T					
SPE4A515TC768	SPE4	2825011913705	56366885	01/02/2015	7	EA	ADAPTER,TURBINE			T					
SPE4A515TC769	SPE4	6680012212531	56459200	01/02/2015	7	EA	INDICATOR,NUMERIC			T					
SPE4A515TC770	SPE4	1560008223935	56476614	01/02/2015	3	EA	LATCH,SLIDING WINDO			T					
SPE4A515TC772	SPE4	1680005460940	55651538	01/02/2015	31	EA	LOCK,INERTIA REEL			T					
SPE4A515TC773	SPE4	2915011227837	56365232	01/02/2015	5	EA	DISK,BIMETALLIC			T					
SPE4A515TC774	SPE4	5315011284202	56365368	01/02/2015	94	EA	PIN,GROOVED,HEADLES			T					
SPE4A515TC775	SPE4	4730011232240	56365364	01/02/2015	47	EA	PLUG,RETAINING			T					
SPE4A515TC776	SPE4	5315011317706	56365493	01/02/2015	10	EA	PIN,SHOULDER,HEADLE			T					
SPE4A515TC777	SPE4	5305011315843	56365494	01/02/2015	43	EA	SCREW,MACHINE			T					
SPE4A515TC778	SPE4	1660001620804	56476411	12/30/14	12	EA	FILTER,FLUID			T					
SPE4A515TC779	SPE4	1560012029146	55448902	01/02/2015	32	EA	SUPPORT,STRUCTURAL			T					
SPE4A515TC780	SPE4	6150015705966	55252246	01/02/2015	3	EA	CABLE ASSEMBLY,SPEC			T					
SPE4A515TC783	SPE4	1680015106624	56367521	01/02/2015	2	EA	DUCT ASSEMBLY,AIRCR			T					
SPE4A515TC784	SPE4	5365003232726	56442351	01/02/2015	8	EA	SHIM			T					
SPE4A515TC785	SPE4	1560004322565	56442076	12/30/14	2	EA	STRINGER,BOOM			T					
SPE4A515TC786	SPE4	5365011273576	56364900	01/02/2015	120	EA	SPACER			T					
SPE4A515TC787	SPE4	5365011273578	56365012	01/02/2015	26	EA	SPACER			T					
SPE4A515TC790	SPE4	5310012592432	56364960	01/02/2015	23	EA	NUT			T					
SPE4A515TC791	SPE4	5995013308973	56364850	01/02/2015	9	EA	CABLE ASSEMBLY,POWE			T					
SPE4A515TC792	SPE4	2915011227849	56365231	01/02/2015	3	EA	LEVER ASSEMBLY			T					
SPE4A515TC793	SPE4	5365011718212	56407559	01/02/2015	10	EA	SHIM			T					
SPE4A515TC794	SPE4	5365011273579	56365013	01/02/2015	151	EA	SPACER			T					
SPE4A515TC795	SPE4	1680010896261	56444134	01/02/2015	10	EA	SEAL LIGHT			T					
SPE4A515TC796	SPE4	5365011273577	56365011	01/02/2015	26	EA	SPACER			T					
SPE4A515TC797	SPE4	3120009780670	56364875	01/02/2015	52	EA	BUSHING,SLEEVE			T					
SPE4A515TC798	SPE4	2915003454086	56334380	01/02/2015	84	EA	PLUG,FUEL CONTROL			T					
SPE4A515TC801	SPE4	3110011227711	56333470	01/02/2015	42	EA	BEARING,BALL,ANNULA			T					
SPE4A515TC802	SPE4	2840010274166	56479649	01/02/2015	51	EA	PARTS KIT,TORQUEMET			T					
SPE4A515TC803	SPE4	4010012902212	56367003	01/02/2015	18	EA	WIRE ROPE ASSEMBLY,			T					
SPE4A515TC804	SPE4	5315011312461	56333421	01/02/2015	170	EA	PIN,STRAIGHT,HEADLE			T					
SPE4A515TC805	SPE4	5365011302709	56333430	01/02/2015	31	EA	BUSHING,SCREW,ADJUS			T					
SPE4A515TC808	SPE4	1650006744703	56476415	01/02/2015	2	EA	DAMPENER,FLUTTER			T					
SPE4A515TC809	SPE4	3040011403504	56458398	01/02/2015	10	EA	CAM,CONTROL			T					
SPE4A515TC810	SPE4	1560008224006	56460058	01/02/2015	5	EA	FAIRING,AIRCRAFT			T					
SPE4A515TC811	SPE4	6680011829873	56281538	01/02/2015	2	EA	TRANSMITTER,LIQUID			T					
SPE4A515TC812	SPE4	5999009499825	56365184	01/02/2015	66	EA	HEAT SINK,ELECTRICA			T					
